week_from,week_until,calendar_week,plz,vacc_status,nCumul,population
2021-01-01,2021-01-24,3,8044,booster,0,10947
2021-01-01,2021-01-24,3,8044,completedBasicImmu,0,10947
2021-01-01,2021-01-24,3,8045,atLeastOneDose,218,11222
2021-01-01,2021-01-24,3,8045,booster,0,11222
2021-01-01,2021-01-24,3,8045,completedBasicImmu,0,11222
2021-01-01,2021-01-24,3,8046,atLeastOneDose,268,25704
2021-01-01,2021-01-24,3,8046,booster,0,25704
2021-01-01,2021-01-24,3,8046,completedBasicImmu,0,25704
2021-01-01,2021-01-24,3,8047,atLeastOneDose,353,20783
2021-01-01,2021-01-24,3,8047,booster,0,20783
2021-01-01,2021-01-24,3,8047,completedBasicImmu,0,20783
2021-01-01,2021-01-24,3,8048,atLeastOneDose,516,29694
2021-01-01,2021-01-24,3,8048,booster,0,29694
2021-01-01,2021-01-24,3,8048,completedBasicImmu,0,29694
2021-01-01,2021-01-24,3,8049,atLeastOneDose,431,23561
2021-01-01,2021-01-24,3,8049,booster,0,23561
2021-01-01,2021-01-24,3,8049,completedBasicImmu,0,23561
2021-01-01,2021-01-24,3,8050,atLeastOneDose,315,28957
2021-01-01,2021-01-24,3,8050,booster,0,28957
2021-01-01,2021-01-24,3,8050,completedBasicImmu,0,28957
2021-01-01,2021-01-24,3,8051,atLeastOneDose,386,23000
2021-01-01,2021-01-24,3,8051,booster,0,23000
2021-01-01,2021-01-24,3,8051,completedBasicImmu,0,23000
2021-01-01,2021-01-24,3,8052,atLeastOneDose,245,20277
2021-01-01,2021-01-24,3,8052,booster,0,20277
2021-01-01,2021-01-24,3,8052,completedBasicImmu,0,20277
2021-01-01,2021-01-24,3,8053,atLeastOneDose,341,11001
2021-01-01,2021-01-24,3,8053,booster,0,11001
2021-01-01,2021-01-24,3,8053,completedBasicImmu,0,11001
2021-01-01,2021-01-24,3,8055,atLeastOneDose,332,20196
2021-01-01,2021-01-24,3,8055,booster,0,20196
2021-01-01,2021-01-24,3,8055,completedBasicImmu,0,20196
2021-01-01,2021-01-24,3,8057,atLeastOneDose,354,21221
2021-01-01,2021-01-24,3,8057,booster,0,21221
2021-01-01,2021-01-24,3,8057,completedBasicImmu,0,21221
2021-01-01,2021-01-24,3,8064,atLeastOneDose,44,3784
2021-01-01,2021-01-24,3,8064,booster,0,3784
2021-01-01,2021-01-24,3,8064,completedBasicImmu,0,3784
2021-01-01,2021-01-24,3,8102,atLeastOneDose,86,6717
2021-01-01,2021-01-24,3,8102,booster,0,6717
2021-01-01,2021-01-24,3,8102,completedBasicImmu,0,6717
2021-01-01,2021-01-24,3,8103,atLeastOneDose,51,3895
2021-01-01,2021-01-24,3,8103,booster,0,3895
2021-01-01,2021-01-24,3,8103,completedBasicImmu,0,3895
2021-01-01,2021-01-24,3,8104,atLeastOneDose,34,2675
2021-01-01,2021-01-24,3,8104,booster,0,2675
2021-01-01,2021-01-24,3,8104,completedBasicImmu,0,2675
2021-01-01,2021-01-24,3,8105,atLeastOneDose,160,13633
2021-01-01,2021-01-24,3,8105,booster,0,13633
2021-01-01,2021-01-24,3,8105,completedBasicImmu,0,13633
2021-01-01,2021-01-24,3,8106,atLeastOneDose,28,4807
2021-01-01,2021-01-24,3,8106,booster,0,4807
2021-01-01,2021-01-24,3,8106,completedBasicImmu,0,4807
2021-01-01,2021-01-24,3,8107,atLeastOneDose,41,6583
2021-01-01,2021-01-24,3,8107,booster,0,6583
2021-01-01,2021-01-24,3,8107,completedBasicImmu,0,6583
2021-01-01,2021-01-24,3,8108,atLeastOneDose,44,4174
2021-01-01,2021-01-24,3,8108,booster,0,4174
2021-01-01,2021-01-24,3,8108,completedBasicImmu,0,4174
2021-01-01,2021-01-24,3,8112,atLeastOneDose,22,2957
2021-01-01,2021-01-24,3,8112,booster,0,2957
2021-01-01,2021-01-24,3,8112,completedBasicImmu,0,2957
2021-01-01,2021-01-24,3,8113,atLeastOneDose,0,1435
2021-01-01,2021-01-24,3,8113,booster,0,1435
2021-01-01,2021-01-24,3,8113,completedBasicImmu,0,1435
2021-01-01,2021-01-24,3,8114,atLeastOneDose,11,1865
2021-01-01,2021-01-24,3,8114,booster,0,1865
2021-01-01,2021-01-24,3,8114,completedBasicImmu,0,1865
2021-01-01,2021-01-24,3,8115,atLeastOneDose,0,953
2021-01-01,2021-01-24,3,8115,booster,0,953
2021-01-01,2021-01-24,3,8115,completedBasicImmu,0,953
2021-01-01,2021-01-24,3,8117,atLeastOneDose,92,4564
2021-01-01,2021-01-24,3,8117,booster,0,4564
2021-01-01,2021-01-24,3,8117,completedBasicImmu,0,4564
2021-01-01,2021-01-24,3,8118,atLeastOneDose,54,2083
2021-01-01,2021-01-24,3,8118,booster,0,2083
2021-01-01,2021-01-24,3,8118,completedBasicImmu,0,2083
2021-01-01,2021-01-24,3,8121,atLeastOneDose,43,1999
2021-01-01,2021-01-24,3,8121,booster,0,1999
2021-01-01,2021-01-24,3,8121,completedBasicImmu,0,1999
2021-01-01,2021-01-24,3,8122,atLeastOneDose,31,2231
2021-01-01,2021-01-24,3,8122,booster,0,2231
2021-01-01,2021-01-24,3,8122,completedBasicImmu,0,2231
2021-01-01,2021-01-24,3,8123,atLeastOneDose,71,2771
2021-01-01,2021-01-24,3,8123,booster,0,2771
2021-01-01,2021-01-24,3,8123,completedBasicImmu,0,2771
2021-01-01,2021-01-24,3,8124,atLeastOneDose,33,2130
2021-01-01,2021-01-24,3,8124,booster,0,2130
2021-01-01,2021-01-24,3,8124,completedBasicImmu,0,2130
2021-01-01,2021-01-24,3,8125,atLeastOneDose,301,5209
2021-01-01,2021-01-24,3,8125,booster,0,5209
2021-01-01,2021-01-24,3,8125,completedBasicImmu,0,5209
2021-01-01,2021-01-24,3,8126,atLeastOneDose,203,5475
2021-01-01,2021-01-24,3,8126,booster,0,5475
2021-01-01,2021-01-24,3,8126,completedBasicImmu,0,5475
2021-01-01,2021-01-24,3,8127,atLeastOneDose,107,4094
2021-01-01,2021-01-24,3,8127,booster,0,4094
2021-01-01,2021-01-24,3,8127,completedBasicImmu,0,4094
2021-01-01,2021-01-24,3,8132,atLeastOneDose,148,6883
2021-01-01,2021-01-24,3,8132,booster,0,6883
2021-01-01,2021-01-24,3,8132,completedBasicImmu,0,6883
2021-01-01,2021-01-24,3,8133,atLeastOneDose,31,1915
2021-01-01,2021-01-24,3,8133,booster,0,1915
2021-01-01,2021-01-24,3,8133,completedBasicImmu,0,1915
2021-01-01,2021-01-24,3,8134,atLeastOneDose,259,18919
2021-01-01,2021-01-24,3,8134,booster,0,18919
2021-01-01,2021-01-24,3,8134,completedBasicImmu,0,18919
2021-01-01,2021-01-24,3,8135,atLeastOneDose,98,7781
2021-01-01,2021-01-24,3,8135,booster,0,7781
2021-01-01,2021-01-24,3,8135,completedBasicImmu,0,7781
2021-01-01,2021-01-24,3,8136,atLeastOneDose,48,2593
2021-01-01,2021-01-24,3,8136,booster,0,2593
2021-01-01,2021-01-24,3,8136,completedBasicImmu,0,2593
2021-01-01,2021-01-24,3,8142,atLeastOneDose,109,4661
2021-01-01,2021-01-24,3,8142,booster,0,4661
2021-01-01,2021-01-24,3,8142,completedBasicImmu,0,4661
2021-01-01,2021-01-24,3,8143,atLeastOneDose,53,3768
2021-01-01,2021-01-24,3,8143,booster,0,3768
2021-01-01,2021-01-24,3,8143,completedBasicImmu,0,3768
2021-01-01,2021-01-24,3,8152,atLeastOneDose,131,21091
2021-01-01,2021-01-24,3,8152,booster,0,21091
2021-01-01,2021-01-24,3,8152,completedBasicImmu,0,21091
2021-01-01,2021-01-24,3,8153,atLeastOneDose,157,8204
2021-01-01,2021-01-24,3,8153,booster,0,8204
2021-01-01,2021-01-24,3,8153,completedBasicImmu,0,8204
2021-01-01,2021-01-24,3,8154,atLeastOneDose,54,7205
2021-01-01,2021-01-24,3,8154,booster,0,7205
2021-01-01,2021-01-24,3,8154,completedBasicImmu,0,7205
2021-01-01,2021-01-24,3,8155,atLeastOneDose,98,7163
2021-01-01,2021-01-24,3,8155,booster,0,7163
2021-01-01,2021-01-24,3,8155,completedBasicImmu,0,7163
2021-01-01,2021-01-24,3,8156,atLeastOneDose,36,2152
2021-01-01,2021-01-24,3,8156,booster,0,2152
2021-01-01,2021-01-24,3,8156,completedBasicImmu,0,2152
2021-01-01,2021-01-24,3,8157,atLeastOneDose,179,5942
2021-01-01,2021-01-24,3,8157,booster,0,5942
2021-01-01,2021-01-24,3,8157,completedBasicImmu,0,5942
2021-01-01,2021-01-24,3,8158,atLeastOneDose,12,467
2021-01-01,2021-01-24,3,8158,booster,0,467
2021-01-01,2021-01-24,3,8158,completedBasicImmu,0,467
2021-01-01,2021-01-24,3,8162,atLeastOneDose,29,3608
2021-01-01,2021-01-24,3,8162,booster,0,3608
2021-01-01,2021-01-24,3,8162,completedBasicImmu,0,3608
2021-01-01,2021-01-24,3,8164,atLeastOneDose,0,601
2021-01-01,2021-01-24,3,8164,booster,0,601
2021-01-01,2021-01-24,3,8164,completedBasicImmu,0,601
2021-01-01,2021-01-24,3,8165,atLeastOneDose,32,3909
2021-01-01,2021-01-24,3,8165,booster,0,3909
2021-01-01,2021-01-24,3,8165,completedBasicImmu,0,3909
2021-01-01,2021-01-24,3,8166,atLeastOneDose,21,3076
2021-01-01,2021-01-24,3,8166,booster,0,3076
2021-01-01,2021-01-24,3,8166,completedBasicImmu,0,3076
2021-01-01,2021-01-24,3,8172,atLeastOneDose,53,4997
2021-01-01,2021-01-24,3,8172,booster,0,4997
2021-01-01,2021-01-24,3,8172,completedBasicImmu,0,4997
2021-01-01,2021-01-24,3,8173,atLeastOneDose,48,3153
2021-01-01,2021-01-24,3,8173,booster,0,3153
2021-01-01,2021-01-24,3,8173,completedBasicImmu,0,3153
2021-01-01,2021-01-24,3,8174,atLeastOneDose,24,1535
2021-01-01,2021-01-24,3,8174,booster,0,1535
2021-01-01,2021-01-24,3,8174,completedBasicImmu,0,1535
2021-01-01,2021-01-24,3,8175,atLeastOneDose,0,755
2021-01-01,2021-01-24,3,8175,booster,0,755
2021-01-01,2021-01-24,3,8175,completedBasicImmu,0,755
2021-01-01,2021-01-24,3,8180,atLeastOneDose,428,21389
2021-01-01,2021-01-24,3,8180,booster,0,21389
2021-01-01,2021-01-24,3,8180,completedBasicImmu,0,21389
2021-01-01,2021-01-24,3,8181,atLeastOneDose,19,2875
2021-01-01,2021-01-24,3,8181,booster,0,2875
2021-01-01,2021-01-24,3,8181,completedBasicImmu,0,2875
2021-01-01,2021-01-24,3,8182,atLeastOneDose,23,1979
2021-01-01,2021-01-24,3,8182,booster,0,1979
2021-01-01,2021-01-24,3,8182,completedBasicImmu,0,1979
2021-01-01,2021-01-24,3,8184,atLeastOneDose,80,4154
2021-01-01,2021-01-24,3,8184,booster,0,4154
2021-01-01,2021-01-24,3,8184,completedBasicImmu,0,4154
2021-01-01,2021-01-24,3,8185,atLeastOneDose,55,4536
2021-01-01,2021-01-24,3,8185,booster,0,4536
2021-01-01,2021-01-24,3,8185,completedBasicImmu,0,4536
2021-01-01,2021-01-24,3,8187,atLeastOneDose,0,1932
2021-01-01,2021-01-24,3,8187,booster,0,1932
2021-01-01,2021-01-24,3,8187,completedBasicImmu,0,1932
2021-01-01,2021-01-24,3,8192,atLeastOneDose,41,5207
2021-01-01,2021-01-24,3,8192,booster,0,5207
2021-01-01,2021-01-24,3,8192,completedBasicImmu,0,5207
2021-01-01,2021-01-24,3,8193,atLeastOneDose,56,5359
2021-01-01,2021-01-24,3,8193,booster,0,5359
2021-01-01,2021-01-24,3,8193,completedBasicImmu,0,5359
2021-01-01,2021-01-24,3,8194,atLeastOneDose,0,1051
2021-01-01,2021-01-24,3,8194,booster,0,1051
2021-01-01,2021-01-24,3,8194,completedBasicImmu,0,1051
2021-01-01,2021-01-24,3,8195,atLeastOneDose,0,560
2021-01-01,2021-01-24,3,8195,booster,0,560
2021-01-01,2021-01-24,3,8195,completedBasicImmu,0,560
2021-01-01,2021-01-24,3,8196,atLeastOneDose,0,1468
2021-01-01,2021-01-24,3,8196,booster,0,1468
2021-01-01,2021-01-24,3,8196,completedBasicImmu,0,1468
2021-01-01,2021-01-24,3,8197,atLeastOneDose,39,4659
2021-01-01,2021-01-24,3,8197,booster,0,4659
2021-01-01,2021-01-24,3,8197,completedBasicImmu,0,4659
2021-01-01,2021-01-24,3,8245,atLeastOneDose,31,2530
2021-01-01,2021-01-24,3,8245,booster,0,2530
2021-01-01,2021-01-24,3,8245,completedBasicImmu,0,2530
2021-01-01,2021-01-24,3,8246,atLeastOneDose,0,1088
2021-01-01,2021-01-24,3,8246,booster,0,1088
2021-01-01,2021-01-24,3,8246,completedBasicImmu,0,1088
2021-01-01,2021-01-24,3,8247,atLeastOneDose,17,1470
2021-01-01,2021-01-24,3,8247,booster,0,1470
2021-01-01,2021-01-24,3,8247,completedBasicImmu,0,1470
2021-01-01,2021-01-24,3,8248,atLeastOneDose,42,1575
2021-01-01,2021-01-24,3,8248,booster,0,1575
2021-01-01,2021-01-24,3,8248,completedBasicImmu,0,1575
2021-01-01,2021-01-24,3,8302,atLeastOneDose,217,20144
2021-01-01,2021-01-24,3,8302,booster,0,20144
2021-01-01,2021-01-24,3,8302,completedBasicImmu,0,20144
2021-01-01,2021-01-24,3,8303,atLeastOneDose,235,11826
2021-01-01,2021-01-24,3,8303,booster,0,11826
2021-01-01,2021-01-24,3,8303,completedBasicImmu,0,11826
2021-01-01,2021-01-24,3,8304,atLeastOneDose,166,16830
2021-01-01,2021-01-24,3,8304,booster,0,16830
2021-01-01,2021-01-24,3,8304,completedBasicImmu,0,16830
2021-01-01,2021-01-24,3,8305,atLeastOneDose,219,7849
2021-01-01,2021-01-24,3,8305,booster,0,7849
2021-01-01,2021-01-24,3,8305,completedBasicImmu,0,7849
2021-01-01,2021-01-24,3,8306,atLeastOneDose,77,5311
2021-01-01,2021-01-24,3,8306,booster,0,5311
2021-01-01,2021-01-24,3,8306,completedBasicImmu,0,5311
2021-01-01,2021-01-24,3,8307,atLeastOneDose,121,12268
2021-01-01,2021-01-24,3,8307,booster,0,12268
2021-01-01,2021-01-24,3,8307,completedBasicImmu,0,12268
2021-01-01,2021-01-24,3,8308,atLeastOneDose,64,4589
2021-01-01,2021-01-24,3,8308,booster,0,4589
2021-01-01,2021-01-24,3,8308,completedBasicImmu,0,4589
2021-01-01,2021-01-24,3,8309,atLeastOneDose,146,5611
2021-01-01,2021-01-24,3,8309,booster,0,5611
2021-01-01,2021-01-24,3,8309,completedBasicImmu,0,5611
2021-01-01,2021-01-24,3,8310,atLeastOneDose,17,1509
2021-01-01,2021-01-24,3,8310,booster,0,1509
2021-01-01,2021-01-24,3,8310,completedBasicImmu,0,1509
2021-01-01,2021-01-24,3,8311,atLeastOneDose,28,2061
2021-01-01,2021-01-24,3,8311,booster,0,2061
2021-01-01,2021-01-24,3,8311,completedBasicImmu,0,2061
2021-01-01,2021-01-24,3,8312,atLeastOneDose,12,954
2021-01-01,2021-01-24,3,8312,booster,0,954
2021-01-01,2021-01-24,3,8312,completedBasicImmu,0,954
2021-01-01,2021-01-24,3,8314,atLeastOneDose,0,349
2021-01-01,2021-01-24,3,8314,booster,0,349
2021-01-01,2021-01-24,3,8314,completedBasicImmu,0,349
2021-01-01,2021-01-24,3,8315,atLeastOneDose,0,817
2021-01-01,2021-01-24,3,8315,booster,0,817
2021-01-01,2021-01-24,3,8315,completedBasicImmu,0,817
2021-01-01,2021-01-24,3,8317,atLeastOneDose,24,2337
2021-01-01,2021-01-24,3,8317,booster,0,2337
2021-01-01,2021-01-24,3,8317,completedBasicImmu,0,2337
2021-01-01,2021-01-24,3,8320,atLeastOneDose,120,6443
2021-01-01,2021-01-24,3,8320,booster,0,6443
2021-01-01,2021-01-24,3,8320,completedBasicImmu,0,6443
2021-01-01,2021-01-24,3,8322,atLeastOneDose,11,994
2021-01-01,2021-01-24,3,8322,booster,0,994
2021-01-01,2021-01-24,3,8322,completedBasicImmu,0,994
2021-01-01,2021-01-24,3,8330,atLeastOneDose,154,11524
2021-01-01,2021-01-24,3,8330,booster,0,11524
2021-01-01,2021-01-24,3,8330,completedBasicImmu,0,11524
2021-01-01,2021-01-24,3,8331,atLeastOneDose,0,610
2021-01-01,2021-01-24,3,8331,booster,0,610
2021-01-01,2021-01-24,3,8331,completedBasicImmu,0,610
2021-01-01,2021-01-24,3,8332,atLeastOneDose,40,3384
2021-01-01,2021-01-24,3,8332,booster,0,3384
2021-01-01,2021-01-24,3,8332,completedBasicImmu,0,3384
2021-01-01,2021-01-24,3,8335,atLeastOneDose,34,3640
2021-01-01,2021-01-24,3,8335,booster,0,3640
2021-01-01,2021-01-24,3,8335,completedBasicImmu,0,3640
2021-01-01,2021-01-24,3,8340,atLeastOneDose,53,10306
2021-01-01,2021-01-24,3,8340,booster,0,10306
2021-01-01,2021-01-24,3,8340,completedBasicImmu,0,10306
2021-01-01,2021-01-24,3,8342,atLeastOneDose,11,933
2021-01-01,2021-01-24,3,8342,booster,0,933
2021-01-01,2021-01-24,3,8342,completedBasicImmu,0,933
2021-01-01,2021-01-24,3,8344,atLeastOneDose,40,3778
2021-01-01,2021-01-24,3,8344,booster,0,3778
2021-01-01,2021-01-24,3,8344,completedBasicImmu,0,3778
2021-01-01,2021-01-24,3,8345,atLeastOneDose,12,1131
2021-01-01,2021-01-24,3,8345,booster,0,1131
2021-01-01,2021-01-24,3,8345,completedBasicImmu,0,1131
2021-01-01,2021-01-24,3,8352,atLeastOneDose,83,3713
2021-01-01,2021-01-24,3,8352,booster,0,3713
2021-01-01,2021-01-24,3,8352,completedBasicImmu,0,3713
2021-01-01,2021-01-24,3,8353,atLeastOneDose,96,4374
2021-01-01,2021-01-24,3,8353,booster,0,4374
2021-01-01,2021-01-24,3,8353,completedBasicImmu,0,4374
2021-01-01,2021-01-24,3,8354,atLeastOneDose,0,500
2021-01-01,2021-01-24,3,8354,booster,0,500
2021-01-01,2021-01-24,3,8354,completedBasicImmu,0,500
2021-01-01,2021-01-24,3,8400,atLeastOneDose,689,39632
2021-01-01,2021-01-24,3,8400,booster,0,39632
2021-01-01,2021-01-24,3,8400,completedBasicImmu,0,39632
2021-01-01,2021-01-24,3,8403,atLeastOneDose,0,321
2021-01-01,2021-01-24,3,8403,booster,0,321
2021-01-01,2021-01-24,3,8403,completedBasicImmu,0,321
2021-01-01,2021-01-24,3,8404,atLeastOneDose,316,20278
2021-01-01,2021-01-24,3,8404,booster,0,20278
2021-01-01,2021-01-24,3,8404,completedBasicImmu,0,20278
2021-01-01,2021-01-24,3,8405,atLeastOneDose,232,18152
2021-01-01,2021-01-24,3,8405,booster,0,18152
2021-01-01,2021-01-24,3,8405,completedBasicImmu,0,18152
2021-01-01,2021-01-24,3,8406,atLeastOneDose,114,13621
2021-01-01,2021-01-24,3,8406,booster,0,13621
2021-01-01,2021-01-24,3,8406,completedBasicImmu,0,13621
2021-01-01,2021-01-24,3,8408,atLeastOneDose,250,16314
2021-01-01,2021-01-24,3,8408,booster,0,16314
2021-01-01,2021-01-24,3,8408,completedBasicImmu,0,16314
2021-01-01,2021-01-24,3,8409,atLeastOneDose,38,3194
2021-01-01,2021-01-24,3,8409,booster,0,3194
2021-01-01,2021-01-24,3,8409,completedBasicImmu,0,3194
2021-01-01,2021-01-24,3,8412,atLeastOneDose,18,983
2021-01-01,2021-01-24,3,8412,booster,0,983
2021-01-01,2021-01-24,3,8412,completedBasicImmu,0,983
2021-01-01,2021-01-24,3,8413,atLeastOneDose,94,4712
2021-01-01,2021-01-24,3,8413,booster,0,4712
2021-01-01,2021-01-24,3,8413,completedBasicImmu,0,4712
2021-01-01,2021-01-24,3,8414,atLeastOneDose,15,977
2021-01-01,2021-01-24,3,8414,booster,0,977
2021-01-01,2021-01-24,3,8414,completedBasicImmu,0,977
2021-01-01,2021-01-24,3,8415,atLeastOneDose,0,577
2021-01-01,2021-01-24,3,8415,booster,0,577
2021-01-01,2021-01-24,3,8415,completedBasicImmu,0,577
2021-01-01,2021-01-24,3,8416,atLeastOneDose,12,1423
2021-01-01,2021-01-24,3,8416,booster,0,1423
2021-01-01,2021-01-24,3,8416,completedBasicImmu,0,1423
2021-01-01,2021-01-24,3,8418,atLeastOneDose,0,772
2021-01-01,2021-01-24,3,8418,booster,0,772
2021-01-01,2021-01-24,3,8418,completedBasicImmu,0,772
2021-01-01,2021-01-24,3,8421,atLeastOneDose,11,777
2021-01-01,2021-01-24,3,8421,booster,0,777
2021-01-01,2021-01-24,3,8421,completedBasicImmu,0,777
2021-01-01,2021-01-24,3,8422,atLeastOneDose,87,3877
2021-01-01,2021-01-24,3,8422,booster,0,3877
2021-01-01,2021-01-24,3,8422,completedBasicImmu,0,3877
2021-01-01,2021-01-24,3,8424,atLeastOneDose,262,9396
2021-01-01,2021-01-24,3,8424,booster,0,9396
2021-01-01,2021-01-24,3,8424,completedBasicImmu,0,9396
2021-01-01,2021-01-24,3,8425,atLeastOneDose,32,1091
2021-01-01,2021-01-24,3,8425,booster,0,1091
2021-01-01,2021-01-24,3,8425,completedBasicImmu,0,1091
2021-01-01,2021-01-24,3,8426,atLeastOneDose,44,2414
2021-01-01,2021-01-24,3,8426,booster,0,2414
2021-01-01,2021-01-24,3,8426,completedBasicImmu,0,2414
2021-01-01,2021-01-24,3,8427,atLeastOneDose,62,4787
2021-01-01,2021-01-24,3,8427,booster,0,4787
2021-01-01,2021-01-24,3,8427,completedBasicImmu,0,4787
2021-01-01,2021-01-24,3,8428,atLeastOneDose,0,456
2021-01-01,2021-01-24,3,8428,booster,0,456
2021-01-01,2021-01-24,3,8428,completedBasicImmu,0,456
2021-01-01,2021-01-24,3,8442,atLeastOneDose,38,3141
2021-01-01,2021-01-24,3,8442,booster,0,3141
2021-01-01,2021-01-24,3,8442,completedBasicImmu,0,3141
2021-01-01,2021-01-24,3,8444,atLeastOneDose,33,2231
2021-01-01,2021-01-24,3,8444,booster,0,2231
2021-01-01,2021-01-24,3,8444,completedBasicImmu,0,2231
2021-01-01,2021-01-24,3,8447,atLeastOneDose,77,1931
2021-01-01,2021-01-24,3,8447,booster,0,1931
2021-01-01,2021-01-24,3,8447,completedBasicImmu,0,1931
2021-01-01,2021-01-24,3,8450,atLeastOneDose,23,2227
2021-01-01,2021-01-24,3,8450,booster,0,2227
2021-01-01,2021-01-24,3,8450,completedBasicImmu,0,2227
2021-01-01,2021-01-24,3,8451,atLeastOneDose,54,1417
2021-01-01,2021-01-24,3,8451,booster,0,1417
2021-01-01,2021-01-24,3,8451,completedBasicImmu,0,1417
2021-01-01,2021-01-24,3,8452,atLeastOneDose,0,699
2021-01-01,2021-01-24,3,8452,booster,0,699
2021-01-01,2021-01-24,3,8452,completedBasicImmu,0,699
2021-01-01,2021-01-24,3,8453,atLeastOneDose,0,282
2021-01-01,2021-01-24,3,8453,booster,0,282
2021-01-01,2021-01-24,3,8453,completedBasicImmu,0,282
2021-01-01,2021-01-24,3,8457,atLeastOneDose,0,485
2021-01-01,2021-01-24,3,8457,booster,0,485
2021-01-01,2021-01-24,3,8457,completedBasicImmu,0,485
2021-01-01,2021-01-24,3,8458,atLeastOneDose,0,657
2021-01-01,2021-01-24,3,8458,booster,0,657
2021-01-01,2021-01-24,3,8458,completedBasicImmu,0,657
2021-01-01,2021-01-24,3,8459,atLeastOneDose,0,376
2021-01-01,2021-01-24,3,8459,booster,0,376
2021-01-01,2021-01-24,3,8459,completedBasicImmu,0,376
2021-01-01,2021-01-24,3,8460,atLeastOneDose,35,1831
2021-01-01,2021-01-24,3,8460,booster,0,1831
2021-01-01,2021-01-24,3,8460,completedBasicImmu,0,1831
2021-01-01,2021-01-24,3,8461,atLeastOneDose,17,376
2021-01-01,2021-01-24,3,8461,booster,0,376
2021-01-01,2021-01-24,3,8461,completedBasicImmu,0,376
2021-01-01,2021-01-24,3,8462,atLeastOneDose,13,1309
2021-01-01,2021-01-24,3,8462,booster,0,1309
2021-01-01,2021-01-24,3,8462,completedBasicImmu,0,1309
2021-01-01,2021-01-24,3,8463,atLeastOneDose,22,850
2021-01-01,2021-01-24,3,8463,booster,0,850
2021-01-01,2021-01-24,3,8463,completedBasicImmu,0,850
2021-01-01,2021-01-24,3,8465,atLeastOneDose,0,389
2021-01-01,2021-01-24,3,8465,booster,0,389
2021-01-01,2021-01-24,3,8465,completedBasicImmu,0,389
2021-01-01,2021-01-24,3,8466,atLeastOneDose,15,674
2021-01-01,2021-01-24,3,8466,booster,0,674
2021-01-01,2021-01-24,3,8466,completedBasicImmu,0,674
2021-01-01,2021-01-24,3,8467,atLeastOneDose,0,458
2021-01-01,2021-01-24,3,8467,booster,0,458
2021-01-01,2021-01-24,3,8467,completedBasicImmu,0,458
2021-01-01,2021-01-24,3,8468,atLeastOneDose,11,649
2021-01-01,2021-01-24,3,8468,booster,0,649
2021-01-01,2021-01-24,3,8468,completedBasicImmu,0,649
2021-01-01,2021-01-24,3,8471,atLeastOneDose,11,1034
2021-01-01,2021-01-24,3,8471,booster,0,1034
2021-01-01,2021-01-24,3,8471,completedBasicImmu,0,1034
2021-01-01,2021-01-24,3,8472,atLeastOneDose,100,7417
2021-01-01,2021-01-24,3,8472,booster,0,7417
2021-01-01,2021-01-24,3,8472,completedBasicImmu,0,7417
2021-01-01,2021-01-24,3,8474,atLeastOneDose,17,1680
2021-01-01,2021-01-24,3,8474,booster,0,1680
2021-01-01,2021-01-24,3,8474,completedBasicImmu,0,1680
2021-01-01,2021-01-24,3,8475,atLeastOneDose,17,1661
2021-01-01,2021-01-24,3,8475,booster,0,1661
